BeginDate	Location	LmpTotal	EnergyComponent	CongestionComponent	LossComponent
2024-03-15T14:05:00	Maine	38.50	37.20	0.80	0.50
2024-03-15T14:05:00	New Hampshire	40.10	37.20	2.10	0.80
2024-03-15T14:05:00	Vermont	39.30	37.20	1.40	0.70
2024-03-15T14:05:00	Connecticut	44.70	37.20	6.50	1.00
2024-03-15T14:05:00	Rhode Island	46.20	37.20	7.80	1.20
2024-03-15T14:05:00	Southeast Massachusetts	52.90	37.20	14.10	1.60
2024-03-15T14:05:00	West/Central Massachusetts	41.80	37.20	3.60	1.00
2024-03-15T14:05:00	Northeast Massachusetts/Boston	58.40	37.20	19.30	1.90
2024-03-15T14:10:00	Maine	37.90	36.80	0.65	0.45
2024-03-15T14:10:00	New Hampshire	39.60	36.80	2.00	0.80
2024-03-15T14:10:00	Vermont	38.80	36.80	1.30	0.70
2024-03-15T14:10:00	Connecticut	43.90	36.80	6.10	1.00
2024-03-15T14:10:00	Rhode Island	45.50	36.80	7.50	1.20
2024-03-15T14:10:00	Southeast Massachusetts	51.60	36.80	13.20	1.60
2024-03-15T14:10:00	West/Central Massachusetts	41.10	36.80	3.30	1.00
2024-03-15T14:10:00	Northeast Massachusetts/Boston	57.20	36.80	18.50	1.90
2024-03-15T14:15:00	Maine	39.10	37.50	1.00	0.60
2024-03-15T14:15:00	New Hampshire	40.80	37.50	2.40	0.90
2024-03-15T14:15:00	Vermont	39.90	37.50	1.60	0.80
2024-03-15T14:15:00	Connecticut	45.40	37.50	6.80	1.10
2024-03-15T14:15:00	Rhode Island	47.00	37.50	8.20	1.30
2024-03-15T14:15:00	Southeast Massachusetts	53.80	37.50	14.60	1.70
2024-03-15T14:15:00	West/Central Massachusetts	42.50	37.50	3.90	1.10
2024-03-15T14:15:00	Northeast Massachusetts/Boston	59.60	37.50	20.10	2.00
2024-03-15T14:20:00	Maine	36.20	35.10	0.55	0.55
2024-03-15T14:20:00	New Hampshire	38.00	35.10	2.05	0.85
2024-03-15T14:20:00	Vermont	37.40	35.10	1.55	0.75
2024-03-15T14:20:00	Connecticut	42.10	35.10	5.90	1.10
2024-03-15T14:20:00	Rhode Island	43.80	35.10	7.35	1.35
2024-03-15T14:20:00	Southeast Massachusetts	50.20	35.10	13.60	1.50
2024-03-15T14:20:00	West/Central Massachusetts	39.70	35.10	3.50	1.10
2024-03-15T14:20:00	Northeast Massachusetts/Boston	55.90	35.10	18.90	1.90
2024-03-15T14:25:00	Maine	40.30	38.90	0.90	0.50
2024-03-15T14:25:00	New Hampshire	41.90	38.90	2.10	0.90
2024-03-15T14:25:00	Vermont	41.00	38.90	1.35	0.75
2024-03-15T14:25:00	Connecticut	46.10	38.90	6.05	1.15
2024-03-15T14:25:00	Rhode Island	47.80	38.90	7.60	1.30
2024-03-15T14:25:00	Southeast Massachusetts	54.50	38.90	14.00	1.60
2024-03-15T14:25:00	West/Central Massachusetts	43.20	38.90	3.20	1.10
2024-03-15T14:25:00	Northeast Massachusetts/Boston	60.10	38.90	19.20	2.00
2024-03-15T14:30:00	Maine	37.00	35.80	0.75	0.45
2024-03-15T14:30:00	New Hampshire	38.90	35.80	2.30	0.80
2024-03-15T14:30:00	Vermont	38.20	35.80	1.70	0.70
2024-03-15T14:30:00	Connecticut	43.50	35.80	6.60	1.10
2024-03-15T14:30:00	Rhode Island	45.00	35.80	7.90	1.30
2024-03-15T14:30:00	Southeast Massachusetts	52.10	35.80	14.70	1.60
2024-03-15T14:30:00	West/Central Massachusetts	40.80	35.80	3.90	1.10
2024-03-15T14:30:00	Northeast Massachusetts/Boston	57.80	35.80	20.00	2.00
